date,Open,High,Low,Close,Volume,Raw_Close
2025-07-01 00:00:00+00:00,559.9462250136498,562.1600762280501,559.1950969230498,561.1421,7412742,567.77
2025-07-02 00:00:00+00:00,560.7467867207912,563.6821163232743,560.193323900121,563.6327,6164018,570.29
2025-07-03 00:00:00+00:00,565.5005878064044,568.9498468707624,565.4511714874308,568.5051,4836962,575.22
2025-07-07 00:00:00+00:00,566.3111004013248,566.894213052698,561.3497012320148,563.949,6417829,570.61
2025-07-08 00:00:00+00:00,564.482660347579,565.1547223436157,562.8321551514301,563.5734,6944624,570.23
2025-07-09 00:00:00+00:00,565.7773246526386,567.5563121528564,564.0971697913217,566.9139,7156477,573.61
2025-07-10 00:00:00+00:00,567.0819271219733,569.5329766170106,566.0145345999409,568.5743,4961691,575.29
2025-07-11 00:00:00+00:00,565.7674886169359,567.6707089031262,564.7000960277031,566.5285,4428852,573.22
2025-07-14 00:00:00+00:00,566.1628103160094,567.9704594040219,564.9076357168974,567.6453,4747041,574.35
2025-07-15 00:00:00+00:00,570.1161493022768,570.4225305214562,565.1745167348652,565.1844,5398956,571.86
2025-07-16 00:00:00+00:00,566.706369017325,567.556329738209,561.5374218426465,567.0424,6141184,573.74
2025-07-17 00:00:00+00:00,567.3191882012544,570.9068134637375,567.1017563671645,570.4423,6495346,577.18
2025-07-18 00:00:00+00:00,571.7172060094988,571.7468558032309,569.1179074256396,570.1853,4262378,576.92
2025-07-21 00:00:00+00:00,571.232949794965,573.7531823669867,570.8475024604204,571.2033,5913837,577.95
2025-07-22 00:00:00+00:00,571.5294477446145,572.0829105839605,568.9202657876979,571.2033,4767703,577.95
2025-07-23 00:00:00+00:00,573.7927322513126,576.1548326527812,572.1125771540336,576.056,4257345,582.86
2025-07-24 00:00:00+00:00,576.5303661180263,577.9239064482392,575.9176037033227,576.4513,3840901,583.26
2025-07-25 00:00:00+00:00,576.9948621913315,579.1988301649645,576.777430373305,578.7442,4210090,585.58
2025-07-28 00:00:00+00:00,579.1987958321945,579.6534259702104,577.4198083356108,578.6058,4193101,585.44
2025-07-29 00:00:00+00:00,579.9697468009317,580.2267116865324,576.3129388135361,577.1036,5053447,583.92
2025-07-30 00:00:00+00:00,577.8349734298108,579.3075799197544,573.7729515011744,576.4019,6974729,583.21
2025-07-31 00:00:00+00:00,580.96790272624,581.2954340923892,573.0711748580084,574.2374,7046843,581.02
2025-08-01 00:00:00+00:00,569.0091368326187,569.0190200962463,562.6443150564353,564.7791,8781254,571.45
2025-08-04 00:00:00+00:00,568.4557176009239,573.4368828506913,568.3667682214639,573.3677,6640089,580.14
2025-08-05 00:00:00+00:00,574.0101431315494,574.7118549406773,569.671389832857,570.6103,4647381,577.35
2025-08-06 00:00:00+00:00,571.4997733133897,575.4728456674231,570.6695790901589,574.8502,4545015,581.64
2025-08-07 00:00:00+00:00,578.0425088011148,578.6849210136077,571.5617555688382,574.5043,4594260,581.29
2025-08-08 00:00:00+00:00,576.125102842558,579.3272803479358,575.798955133677,578.9023,4342341,585.74
2025-08-11 00:00:00+00:00,579.188906300681,580.5033803811546,576.6291409860746,577.7163,5373949,584.54
2025-08-12 00:00:00+00:00,579.9005444073937,584.0613987609602,578.6008951259352,583.8835,5874245,590.78
2025-08-13 00:00:00+00:00,585.9391665272249,587.0955083698805,583.9130974866742,585.9194,5392973,592.84
2025-08-14 00:00:00+00:00,584.021830068314,586.5815954170532,583.6067329847348,585.9293,6236666,592.85
2025-08-15 00:00:00+00:00,586.9275676555606,587.0165170394037,583.7649228966985,584.6643,7196315,591.57
2025-08-18 00:00:00+00:00,584.0811359679383,585.1089954241071,583.458490335836,584.4567,5311743,591.36
2025-08-19 00:00:00+00:00,584.3479783381225,585.2078222977914,580.0882915953956,581.2644,6739284,588.13
2025-08-20 00:00:00+00:00,580.9481414726038,581.1359234886971,575.0577161256776,579.7325,7113572,586.58
2025-08-21 00:00:00+00:00,578.101795462714,579.6139349444605,575.8484111369743,577.4495,4807277,584.27
2025-08-22 00:00:00+00:00,579.4261148278013,587.3821422969944,579.0011344785153,586.2851,6389278,593.21
2025-08-25 00:00:00+00:00,585.1386406297612,586.3047669401726,583.6561510411375,583.8044,6483035,590.7
2025-08-26 00:00:00+00:00,583.4881850436718,586.5025807962095,582.9100140550703,586.1369,4776577,593.06
2025-08-27 00:00:00+00:00,585.6031797718784,588.1925950338145,585.5241136570103,587.481,6171422,594.42
2025-08-28 00:00:00+00:00,588.1234266328037,590.1000795530746,586.3444390045598,589.5565,5058689,596.52
2025-08-29 00:00:00+00:00,588.2913849463816,588.5977661192419,584.3430211219397,586.1566,7512032,593.08
2025-09-02 00:00:00+00:00,579.218634747159,581.9266493859454,576.8565343870496,581.8377,11116700,588.71
2025-09-03 00:00:00+00:00,583.9131229720138,585.3165464662341,581.9068203711214,584.8125,8205922,591.72
2025-09-04 00:00:00+00:00,585.5537948658208,589.8035987679981,584.6939508204965,589.6257,8045575,596.59
2025-09-05 00:00:00+00:00,591.9185894463492,592.6005346914078,584.5456741881807,588.0147,6641512,594.96
2025-09-08 00:00:00+00:00,589.3489179832355,590.4360770276613,588.0838601860855,589.5367,9472235,596.5
2025-09-09 00:00:00+00:00,589.6454425587423,591.3848971084539,588.0641202408227,590.9698,7844787,597.95
2025-09-10 00:00:00+00:00,593.905124786553,594.7254357323908,591.1773438100321,592.6796,21641070,599.68
2025-09-11 00:00:00+00:00,594.4091550606215,598.1647954331178,593.8754587971616,597.5125,9109717,604.57
2025-09-12 00:00:00+00:00,597.5322489577129,598.9060226325194,596.899720071471,597.384,8130498,604.44
2025-09-15 00:00:00+00:00,599.3903743165622,600.6751987705525,599.1235261607334,600.4973,7710693,607.59
2025-09-16 00:00:00+00:00,601.0606072216087,601.3175720957827,598.9860111932298,599.7066,6393185,606.79
2025-09-17 00:00:00+00:00,599.7560448646241,601.2286513290105,594.527797752809,599.0148,11613630,606.09
2025-09-18 00:00:00+00:00,601.4460526899201,604.1738336535618,599.983329564489,601.8315,11057540,608.94
2025-09-19 00:00:00+00:00,603.4919412337769,605.5180106051195,601.742603288764,604.6384,6065655,611.78
2025-09-22 00:00:00+00:00,603.3930956340686,608.0382301906436,603.3832123690546,607.5836,11583810,614.76
2025-09-23 00:00:00+00:00,607.5292534355889,608.0777746541519,603.2161965026,604.4012,10753000,611.54
2025-09-24 00:00:00+00:00,605.4784619360131,605.5871778506972,601.0902922887614,602.385,23787301,609.5
2025-09-25 00:00:00+00:00,599.5385497914572,600.8332573517532,596.3067225226265,599.5089,6965655,606.59
2025-09-26 00:00:00+00:00,600.9321645453651,603.5709963124426,599.4842662162384,603.0373,6438634,610.16
2025-09-29 00:00:00+00:00,605.38626089358,606.268386947044,603.0966977660498,604.7321,5658835,610.13
2025-09-30 00:00:00+00:00,604.0382990071524,607.4379533818872,602.8885616675921,606.9622,6515666,612.38
2025-10-01 00:00:00+00:00,604.3059848837398,609.9456454610539,604.1771349935727,609.1329,10019980,614.57
2025-10-02 00:00:00+00:00,610.9565373230394,611.0259180235676,607.5965291117432,609.8068,7139472,615.25
2025-10-03 00:00:00+00:00,610.5006494067935,612.9487971526084,608.8533532312694,609.8564,7210689,615.3
2025-10-06 00:00:00+00:00,611.9972691739554,612.8100145513444,610.0347864334307,611.9378,6056437,617.4
2025-10-07 00:00:00+00:00,612.8298741710012,613.2652876656208,608.3895089174252,609.7573,7466277,615.2
2025-10-08 00:00:00+00:00,610.7633042576402,613.424549881216,610.0191466359714,613.2957,5035243,618.77
2025-10-09 00:00:00+00:00,613.7516558337385,614.1084709042294,609.8366015880732,611.6405,5898496,617.1
2025-10-10 00:00:00+00:00,612.5225518775708,614.1183079715576,594.9196772010458,595.1972,13664160,600.51
2025-10-13 00:00:00+00:00,601.996517575171,605.6213618448515,601.2085510449303,604.2167,6968434,609.61
2025-10-14 00:00:00+00:00,598.854554513347,606.72430817577,595.1972004813141,603.3643,7493479,608.75
2025-10-15 00:00:00+00:00,607.6460907086666,610.7533549596847,600.460232392915,606.0206,6504851,611.43
2025-10-16 00:00:00+00:00,607.6857949653436,609.3608434778314,598.7951528606003,602.0164,7594824,607.39
2025-10-17 00:00:00+00:00,600.9757037854476,606.6054527670443,599.7466740781977,605.3566,6910972,610.76
2025-10-20 00:00:00+00:00,608.0822800022684,612.5424685240695,608.0822800022684,611.7099,4086209,617.17
2025-10-21 00:00:00+00:00,611.8684767181448,613.2660024372457,610.5314113315723,611.6306,4216197,617.09
2025-10-22 00:00:00+00:00,612.3640505334137,612.3640505334137,604.4348266299656,608.5382,6961589,613.97
2025-10-23 00:00:00+00:00,608.8157219729852,613.0023521880669,608.5580221964887,611.9775,5851842,617.44
2025-10-24 00:00:00+00:00,616.4178736101518,618.2712306044012,615.7111815213235,617.0423,5694867,622.55
2025-10-27 00:00:00+00:00,622.1862945428571,624.7137343285714,621.6114258857142,624.4263,7804316,630.0
2025-10-28 00:00:00+00:00,626.1212230587788,627.7863599962006,624.0695364751698,626.1014,5625627,631.69
2025-10-29 00:00:00+00:00,627.6079527035367,628.5198134077062,622.3151960075955,626.3591,6104537,631.95
2025-10-30 00:00:00+00:00,623.246916200179,625.0508146551723,619.5697385803851,619.7085,6243275,625.24
2025-10-31 00:00:00+00:00,624.2677280556264,624.3668433433274,618.974971692396,621.4925,7058629,627.04
